CA01_01,CA01_02,CA01_03,CA01_04,CA01_05,CA02_04,CA02_01,CA02_02,CA02_03,CA02_05,CA03_04,CA03_01,CA03_02,CA03_03,CA03_05,KP01_01,KP01_02,KP01_03,KP01_04,KP01_05,KP05_01,KP05_02,KP05_03,KP05_04,KP05_05,KP06_01,KP06_02,KP06_03,KP06_04,KP06_05,KP02_01,KP02_02,KP02_03,KP02_04,KP02_05,KP03_01,KP03_02,KP03_03,KP03_04,KP03_05,KP04_01,KP04_02,KP04_03,KP04_04,KP04_05,UA01_01,UA01_02,UA01_03,UA01_04,UA01_05,UA04_01,UA04_02,UA04_03,UA04_04,UA04_05,UA06_01,UA06_02,UA06_03,UA06_04,UA06_05,UA07_01,UA07_02,UA07_03,UA07_04,UA07_05,UA08_01,UA08_02,UA08_03,UA08_04,UA08_05,UA11_01,UA11_02,UA11_03,UA11_04,UA11_05,UA12_01,UA12_02,UA12_03,UA12_04,UA12_05,UA13_01,UA13_02,UA13_03,UA13_04,UA13_05,UA14_01,UA14_02,UA14_03,UA14_04,UA14_05
6,7,7,6,6,7,6,6,7,6,6,5,5,6,5,7,7,7,7,5,7,7,6,7,7,7,6,6,7,7,4,7,7,6,7,7,7,7,7,7,6,6,5,6,7,5,6,6,7,6,6,6,7,6,6,7,6,7,7,7,6,7,6,7,7,5,6,6,7,7,7,6,7,7,7,6,7,7,6,7,6,7,7,6,5,6,6,7,7,7
4,3,6,3,3,5,3,4,7,6,5,4,4,6,7,5,6,7,7,7,6,7,7,7,7,5,5,6,6,7,6,7,5,6,6,7,6,6,5,5,5,6,6,5,7,6,7,6,6,7,6,7,6,6,6,6,7,6,6,6,6,5,6,6,7,6,7,6,7,7,6,6,6,6,6,6,6,7,7,6,6,6,4,4,7,6,6,7,6,7
,,,,,,,,,,,,,,,7,7,7,7,7,6,7,7,7,7,5,5,5,5,7,6,7,7,6,7,7,7,7,7,,6,6,6,6,7,6,7,7,7,7,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,5,5,7,7,7,7,7,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
6,6,6,6,7,5,7,6,7,7,5,5,7,7,7,6,6,6,6,5,6,6,6,6,5,7,6,7,7,5,4,5,4,4,4,6,6,6,7,5,5,6,6,4,4,6,6,6,6,6,6,5,7,7,7,6,6,6,6,6,6,6,7,7,7,7,7,7,6,7,6,7,6,5,5,7,6,7,7,7,7,7,7,7,7,6,6,6,6,7
4,4,4,4,4,2,1,4,5,5,4,4,3,3,4,5,5,5,5,6,4,4,4,4,5,3,4,3,4,5,5,5,6,6,6,5,5,5,5,5,4,5,5,5,6,5,5,5,5,6,3,4,3,4,5,5,5,5,5,6,5,5,5,5,5,5,5,4,5,5,3,3,4,2,3,4,3,4,3,4,,5,4,3,4,5,5,5,5,4
4,5,4,5,5,4,5,4,4,4,5,5,5,5,4,6,5,6,6,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,7,6,6,6,6,7,6,6,6,7,6,7,5,5,4,6,5,5,5,4,7,6,6,6,4,6,6,6,6,6,6,6,6,6,4,6,6,5,4,4,6,7,7,6,6,5,5,5,5,4,6,6,6,6,5
,,,,,,,,,,,,,,,6,7,5,6,7,6,5,7,6,2,4,4,3,2,6,6,7,7,7,5,6,6,4,7,4,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,4,1,4,4,4,4,1,4,4,4,4,1,6,5,5,6,5,6,6,6,6,5,3,3,3,3,4,6,7,7,7,5,7,6,7,6,7,5,5,5,5,7,7,4,4,5,5,3,3,3,3,4,6,7,6,6,7,6,5,7,7,2,6,6,7,7,6,2,2,2,2,3,1,1,4,4,2,6,6,5,6,7,4,4,4,4,1
3,2,,4,6,6,6,6,5,5,6,4,4,5,6,5,7,5,6,6,6,6,5,5,6,6,5,6,6,6,6,6,5,5,6,7,7,7,6,6,6,6,6,7,6,6,7,6,6,6,5,5,6,6,6,6,6,5,6,6,6,5,6,6,6,6,6,5,6,6,5,6,6,6,6,6,5,5,5,6,5,5,5,6,6,6,5,6,5,6
